code,product_name
5900552068372,Black Energy Focus
8711327343214,Lody o smaku jagodowym
3560070333127,Orange Jus à base de concentré
20041663,Sardinas
20000653,Erdbeere Konfitüre extra
5900120070059,Full Fat Curd Cheese
3560070332670,Orange100% Fruit Pressé
8431876066913,Nachos redondos
20707330,Premium Salted Caramel
7614500010013,Toblerone
5907180312334,Sorbet mango
6902725260193,Ser Owczy
5906207020337,Mozzarella
5900500039829,przetarte ananas kokos chia
3560071000035,Morceaux de thon listao
20153229,Gemusemais
4009097058044,Kräuter-Baguette
5900020032218,Cini minie Crazycrunsh
5900541006828,Żywiec Zdrój z Nutą. Napój niegazowany o smaku  limonkowym
5900541001403,Żywiec Zdrój z Nutą. Napój niegazowany o smaku wiśniowym
5900541003049,Żywiec Zdrój z Nutą. Napój niegazowany o smaku brzoskwiniowym.
5900541006859,Żywiec Zdrój z Nutą.Napój niegazowany o smaku brzoskwiniowym
5900541006798,Żywiec Zdrój z Nutą. Napój niegazowany o smaku malinowym
5900541000383,Żywiec Zdrój z Nutą. Napój niegazowany o smaku truskawki
5900541000376,Żywiec Zdrój z Nutą. Napój niegazowany o smaku truskawkowym.
20781453,Chorwacka szynka dojrzewającąca
5901713009739,Dżem truskawkowy
3560070342167,Petit beurre
5907377116561,Marletto Orzech włoski
5907443600529,Advocat
5901218023049,Michałki z Hanki
5906395647279,Naleśniki z jabłkami
5900820009120,Twaróg Klinek chudy
5900567010823,Salami ostródzkie
5906747174217,Ryż z pomidorami i oliwkami
5906245780941,Kabanos & stixy
5907377116578,Marletto czekoladowe
4251097406770,Tasty thin strips of select beef
5908235949116,Orzeszki ziemne smażone w chrupkiej skorupce o smaku paprykowym
5449000131805,Coca Cola Zero
5906827015546,KASZA Orkiszowa Premium
5900531000652,Serek śmietankowy
5900020006165,Cini Minis
8711327331075,Lody z wanilią z Madagaskaru w białej czekoladzie (28%) z migdałami (5%)
20005825,Alpenvollmilch Schokolade
5902057004916,Jogurt śliwka z owocami goji do picia
5900820017484,Jogurt pitny żurawinowy
5900820019662,Jogurt malina z granatem
4006985902304,Cacao en poudre non sucré
4014400900576,Toffifee
5901588018409,Wedel extra dark chocolate
5900120022942,Śmietanka UHT 36% Łowicka
5900512300320,"Mleko UHT 3,2 %"
20037680,Mleko zagęszczone 7.5%
5901432002653,"Mleko UHT 1,5 %"
5900334000200,Sok pomidorowy pikantny
5900120010277,"Mleko UHT 1,5 %"
5900512320427,Mleko UHT 2%
